year_month,treated,synthetic,gap,is_post
2018-01,193.402,83.57,109.832,False
2018-02,102.788,60.006,42.783,False
2018-03,140.91,86.782,54.128,False
2018-04,81.832,31.612,50.22,False
2018-05,165.859,24.649,141.21,False
2018-06,55.486,38.035,17.45,False
2018-07,63.07,25.717,37.354,False
2018-08,65.266,17.146,48.119,False
2018-09,92.809,25.181,67.628,False
2018-10,96.002,39.646,56.357,False
2018-11,116.161,62.149,54.012,False
2018-12,242.102,81.431,160.671,False
2019-01,221.544,36.973,184.571,False
2019-02,208.77,70.714,138.056,False
2019-03,62.072,54.645,7.428,False
2019-04,81.632,54.106,27.526,False
2019-05,134.124,38.575,95.549,False
2019-06,74.048,25.182,48.865,False
2019-07,97.799,21.968,75.831,False
2019-08,54.887,25.716,29.171,False
2019-09,103.387,27.324,76.063,False
2019-10,143.305,33.217,110.088,False
2019-11,115.762,65.361,50.401,False
2019-12,130.531,72.325,58.207,False
2020-01,106.581,77.149,29.432,False
2020-02,119.354,57.326,62.028,False
2020-03,72.451,39.648,32.802,False
2020-04,106.581,38.576,68.005,False
2020-05,107.579,24.113,83.465,False
2020-06,70.655,11.792,58.862,False
2020-07,75.245,33.75,41.495,False
2020-08,77.041,16.074,60.968,False
2020-09,48.899,19.826,29.074,False
2020-10,99.395,26.255,73.14,False
2020-11,174.641,55.186,119.455,False
2020-12,255.873,79.286,176.587,False
2021-01,114.764,91.604,23.16,True
2021-02,120.153,39.648,80.504,True
2021-03,211.764,69.639,142.126,True
2021-04,59.677,47.143,12.534,True
2021-05,111.97,39.645,72.324,True
2021-06,59.278,39.643,19.635,True
2021-07,46.105,24.109,21.996,True
2021-08,61.074,33.213,27.861,True
2021-09,67.661,16.076,51.585,True
2021-10,110.772,39.649,71.123,True
2021-11,186.017,62.68,123.337,True
2021-12,245.295,106.607,138.689,True
2022-01,112.568,71.789,40.78,True
2022-02,164.661,39.114,125.547,True
2022-03,222.941,54.11,168.831,True
2022-04,96.601,42.858,53.743,True
2022-05,126.14,45.001,81.14,True
2022-06,162.266,51.962,110.304,True
2022-07,74.048,28.93,45.118,True
2022-08,53.69,9.647,44.042,True
2022-09,57.681,21.968,35.713,True
2022-10,106.581,40.181,66.399,True
2022-11,309.363,47.686,261.677,True
2022-12,135.721,53.042,82.678,True
2023-01,136.719,48.222,88.497,True
2023-02,197.394,60.003,137.391,True
2023-03,70.455,57.857,12.598,True
2023-04,87.021,35.896,51.125,True
2023-05,95.803,35.896,59.907,True
2023-06,67.461,29.467,37.994,True
2023-07,93.807,20.36,73.447,True
2023-08,65.665,14.468,51.197,True
2023-09,64.867,20.361,44.506,True
2023-10,113.167,26.791,86.376,True
2023-11,124.145,54.112,70.032,True
2023-12,191.206,60.542,130.665,True
