source_id,target_id,relationship,weight,metadata,directed
1,2,PROXIMATE_TO,0.085541,distance_km=11.7,False
1,3,PROXIMATE_TO,0.102938,distance_km=9.7,False
1,4,PROXIMATE_TO,0.061394,distance_km=16.3,False
1,5,PROXIMATE_TO,0.041626,distance_km=24.0,False
1,6,PROXIMATE_TO,0.064584,distance_km=15.5,False
1,7,PROXIMATE_TO,0.228134,distance_km=4.4,False
1,8,PROXIMATE_TO,0.045414,distance_km=22.0,False
1,9,PROXIMATE_TO,0.036204,distance_km=27.6,False
1,10,PROXIMATE_TO,0.142288,distance_km=7.0,False
1,23,PROXIMATE_TO,0.00538,distance_km=185.9,False
1,26,PROXIMATE_TO,0.042173,distance_km=23.7,False
1,27,PROXIMATE_TO,0.058611,distance_km=17.1,False
1,28,PROXIMATE_TO,0.016087,distance_km=62.2,False
1,29,PROXIMATE_TO,0.004675,distance_km=213.9,False
1,61,PROXIMATE_TO,0.00413,distance_km=242.1,False
1,68,PROXIMATE_TO,0.006448,distance_km=155.1,False
1,69,PROXIMATE_TO,0.004085,distance_km=244.8,False
1,94,PROXIMATE_TO,0.003423,distance_km=292.1,False
1,131,PROXIMATE_TO,0.003578,distance_km=279.5,False
1,134,PROXIMATE_TO,0.005296,distance_km=188.8,False
1,135,PROXIMATE_TO,0.003731,distance_km=268.0,False
1,136,PROXIMATE_TO,0.004378,distance_km=228.4,False
1,141,PROXIMATE_TO,0.03062,distance_km=32.7,False
1,142,PROXIMATE_TO,0.029592,distance_km=33.8,False
1,143,PROXIMATE_TO,0.012369,distance_km=80.8,False
1,144,PROXIMATE_TO,0.005191,distance_km=192.6,False
1,145,PROXIMATE_TO,0.008452,distance_km=118.3,False
1,146,PROXIMATE_TO,0.006661,distance_km=150.1,False
1,147,PROXIMATE_TO,0.014854,distance_km=67.3,False
1,148,PROXIMATE_TO,0.025847,distance_km=38.7,False
1,149,PROXIMATE_TO,0.006311,distance_km=158.4,False
1,150,PROXIMATE_TO,0.009345,distance_km=107.0,False
2,3,PROXIMATE_TO,0.114708,distance_km=8.7,False
2,4,PROXIMATE_TO,0.036226,distance_km=27.6,False
2,5,PROXIMATE_TO,0.058008,distance_km=17.2,False
2,6,PROXIMATE_TO,0.046024,distance_km=21.7,False
2,7,PROXIMATE_TO,0.078256,distance_km=12.8,False
2,8,PROXIMATE_TO,0.031823,distance_km=31.4,False
2,9,PROXIMATE_TO,0.031967,distance_km=31.3,False
2,10,PROXIMATE_TO,0.140249,distance_km=7.1,False
2,23,PROXIMATE_TO,0.005735,distance_km=174.4,False
2,26,PROXIMATE_TO,0.041726,distance_km=24.0,False
2,27,PROXIMATE_TO,0.18609,distance_km=5.4,False
2,28,PROXIMATE_TO,0.015859,distance_km=63.1,False
2,29,PROXIMATE_TO,0.004843,distance_km=206.5,False
2,61,PROXIMATE_TO,0.004197,distance_km=238.2,False
2,68,PROXIMATE_TO,0.00671,distance_km=149.0,False
2,69,PROXIMATE_TO,0.004059,distance_km=246.4,False
2,94,PROXIMATE_TO,0.00356,distance_km=280.9,False
2,131,PROXIMATE_TO,0.003435,distance_km=291.1,False
2,134,PROXIMATE_TO,0.004989,distance_km=200.4,False
2,135,PROXIMATE_TO,0.003582,distance_km=279.2,False
2,136,PROXIMATE_TO,0.004178,distance_km=239.3,False
2,141,PROXIMATE_TO,0.032362,distance_km=30.9,False
2,142,PROXIMATE_TO,0.043056,distance_km=23.2,False
2,143,PROXIMATE_TO,0.010854,distance_km=92.1,False
2,144,PROXIMATE_TO,0.004911,distance_km=203.6,False
2,145,PROXIMATE_TO,0.007725,distance_km=129.4,False
2,146,PROXIMATE_TO,0.006245,distance_km=160.1,False
2,147,PROXIMATE_TO,0.01298,distance_km=77.0,False
2,148,PROXIMATE_TO,0.019853,distance_km=50.4,False
